FtcAuto.startMode_INFO [0.004717125] ***** Starting autonomous: 20260118@123120 *****
FtcAuto.startMode_INFO [0.006388959] <Info name="MatchInfo" date="Sun Jan 18 12:29:53 PST 2026" type="QUALIFICATION" number=2 />
FtcAuto.startMode_INFO [0.007915542] <Info name="AutoChoices" startDelay=0 alliance="RED_ALLIANCE" startPos="GOAL_ZONE" strategy="DECODE_AUTO" classifierVision="NO" loadingPickup="NO" openGate="YES" spikeMarkCount=2 shootDelay1=0 shootDelay2=0 shootDelay3=0 parkOption="CLASSIFIER_PARK" xTarget=4.0 yTarget=4.0 turnTarget=90 driveTime=5 drivePower=0.5 />
FtcAuto.startMode_INFO [0.008781209] Obelisk AprilTag 21: [Green, Purple, Purple]
CmdDecodeAuto.cmdPeriodic_INFO [0.02297371] <Event name="StateInfo" time="0.022529502" tag="vvvvv" CmdDecodeAuto.state="START" />
CmdDecodeAuto.cmdPeriodic_INFO [0.056390547] Set callback event to turn on auto tracking (event=(CmdDecodeAuto.goalTrackingCallbackEvent=CLEARED))
CmdDecodeAuto.cmdPeriodic_INFO [0.06959459] Pre-spin shooter(shootParams={name=GoalZoneShootPoint, input=35.2500001, region={value=30.0, coeffs=[[3398.57143, 5.71429]]}, outputs=[3550.0]})
CmdDecodeAuto.cmdPeriodic_INFO [0.07086509] <Event name="StateInfo" time="0.07032784" tag="^^^^^" CmdDecodeAuto.state="START" />
CmdDecodeAuto.cmdPeriodic_INFO [0.07278659] <Event name="StateInfo" time="0.072389049" tag="vvvvv" CmdDecodeAuto.state="GOTO_SHOOT_POS" />
purePursuitDrive.start_INFO [0.075304549] Path=TrcPath(degrees=true, [Waypoint(simple=true,index=0,pose=(x=-40.870001,y=54.870000,angle=0.000000),vel=0.0), Waypoint(simple=true,index=1,pose=(x=-23.540000,y=23.540000,angle=0.000000),vel=0.0)])
CmdDecodeAuto.cmdPeriodic_INFO [0.08226255] <Event name="StateInfo" time="0.081840216" tag="^^^^^" CmdDecodeAuto.state="GOTO_SHOOT_POS" RobotPose=(x=-40.870001,y=54.870000,angle=-0.000001) TargetPose=(x=-23.540000,y=23.540000,angle=0.000000) vel=(x=-0.000197,y=0.000000,angle=-0.001495) Path=TrcPath(degrees=true, [Waypoint(simple=true,index=0,pose=(x=0.000000,y=0.000000,angle=0.000000),vel=0.0), Waypoint(simple=true,index=1,pose=(x=17.330001,y=-31.330000,angle=-0.000000),vel=0.0)]) />
Shooter.PanMotor.pidCtrlTask_INFO [0.825930083] controlMode: Position,onTarget=true(-44.28101833531201/-45.0), stalled=false, expired=false, event=(CmdDecodeAuto.goalTrackingCallbackEvent=SIGNALED)
CmdDecodeAuto.lambda$cmdPeriodic$0$teamcode-autocommands-CmdDecodeAuto_INFO [0.842454459] GoalTrackingCallback(canceled=false)
CmdDecodeAuto.lambda$cmdPeriodic$0$teamcode-autocommands-CmdDecodeAuto_INFO [0.843981334] enabling tracking
Shooter.enableGoalTracking_INFO [0.845512585] enableGoalTracking(owner=null, useVision=true, alliance=RED_ALLIANCE, flywheelTracking=true)
purePursuitDrive.driveTask_INFO [1.842235976] Done: index=1/2, stalled=false, timeout=false, posOnTarget=true, headingOnTarget=true, robotPose=(x=-23.322478,y=24.255366,angle=-0.837655)
purePursuitDrive.driveTask_INFO [1.856922561] Signal completion event (CmdDecodeAuto=CLEARED).
CmdDecodeAuto.cmdPeriodic_INFO [1.859192311] <Event name="StateInfo" time="1.858805561" tag="vvvvv" CmdDecodeAuto.state="SHOOT_ARTIFACTS" />
TaskAutoShoot.autoShoot_INFO [1.860708103] autoShoot(owner=null, event=(CmdDecodeAuto=SIGNALED), taskParams=(alliance=RED_ALLIANCE,inAuto=true,doMotif=true,useClassifierVision=false,useRegression=false,flywheelTracking=true,relocalize=false,numArtifactsToShoot=3,moveToNextExitSlot=false))
Shooter.pauseGoalTracking_INFO [1.86203752] Pause GoalTracking.
Shooter.stopGoalTracking_INFO [1.863262228] Stop GoalTracking.
CmdDecodeAuto.cmdPeriodic_INFO [1.87758248] <Event name="StateInfo" time="1.877248813" tag="^^^^^" CmdDecodeAuto.state="SHOOT_ARTIFACTS" />
TaskAutoShoot.autoTask_INFO [1.879211438] <Event name="StateInfo" time="1.878790563" tag="vvvvv" TaskAutoShoot.state="START" />
TaskAutoShoot.runTaskState_INFO [1.880787314] ***** Setting up Vision (useClassifierVision=false, classifierVisionEnabled=false)
TaskAutoShoot.autoTask_INFO [1.89092769] <Event name="StateInfo" time="1.890553481" tag="^^^^^" TaskAutoShoot.state="START" />
TaskAutoShoot.autoTask_INFO [1.895484398] <Event name="StateInfo" time="1.895139357" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.runTaskState_INFO [1.896555982] ***** MotifSequence=[Green, Purple, Purple]
TaskAutoShoot.autoTask_INFO [1.897274357] <Event name="StateInfo" time="1.896894899" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.89836169] <Event name="StateInfo" time="1.897993024" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.899133732] <Event name="StateInfo" time="1.89875894" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.900383816] <Event name="StateInfo" time="1.900024191" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.901178316] <Event name="StateInfo" time="1.900762107" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.902392524] <Event name="StateInfo" time="1.902033482" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.903885274] <Event name="StateInfo" time="1.903499399" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.906140733] <Event name="StateInfo" time="1.905719858" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.907788066] <Event name="StateInfo" time="1.907360483" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.910044692] <Event name="StateInfo" time="1.909712483" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.911385775] <Event name="StateInfo" time="1.911065525" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.913118567] <Event name="StateInfo" time="1.912770317" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.914847859] <Event name="StateInfo" time="1.914091859" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.916600776] <Event name="StateInfo" time="1.91625515" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.918127359] <Event name="StateInfo" time="1.917784359" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.920462734] <Event name="StateInfo" time="1.920126151" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.921567276] <Event name="StateInfo" time="1.921227193" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.923757693] <Event name="StateInfo" time="1.923441235" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
